Select,CRN,Subj,Section,CMP,Credits,Title,Days,Time,Cap,Act,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructors,Date,Location,Attributes
C,11331,CSCI,442,A,C,3.000,OPERATING SYSTEMS,TR,11:00am-12:15pm,73,73,0,0,0,0,0,0,0,"Phillip Richardson Romig (P), Dong Chen",01/09-05/10,AH 340,UG_Req
NR,10038,CSCI,442,B,C,3.000,OPERATING SYSTEMS,TR,12:30pm-01:45pm,70,59,11,0,0,0,0,0,0,Dong Chen (P),01/09-05/10,BE 241,UG_Req
NR,11200,CSCI,442,C,C,3.000,OPERATING SYSTEMS,TR,02:00pm-03:15pm,70,63,7,0,0,0,0,0,0,"Phillip Richardson Romig (P), Dong Chen",01/09-05/10,BE 241,UG_Req
NR,12285,CSCI,444,A,C,3.000,ADVANCED COMPUTER GRAPHICS,MWF,10:00am-10:50am,25,11,14,0,0,0,50,21,29,Tolga Can (P) ,01/09-05/10,BB 125,No_Special_Notes
C,11383,CSCI,446,A,C,3.000,WEB APPLICATIONS,MWF,04:00pm-04:50pm,75,75,0,0,0,0,0,0,0,"Eric Lawrence Dattore (P), Wendy Denise Fisher",01/09-05/10,CK 130,No_Special_Notes
C,11893,CSCI,470,OL,O,3.000,INTRODUCTION TO MACHINE LEARNING,AAA,00:00zm-00:00zm,55,55,0,0,0,0,76,76,0,Zibo Wang (P),03/11-05/10,ONLINE,UG_Req
NR,10590,CSCI,474,A,C,3.000,INTRODUCTION TO CRYPTOGRAPHY,TR,11:00am-12:15pm,90,75,15,0,0,0,120,101 ,19,Chuan Yue (P),01/09-05/10,GC PET,No_Special_Notes
NR,10790,CSCI,477,A,C,3.000,ELEMENTS OF GAMES AND GAME DEVELOPMENT,MWF,09:00am-09:50am,60,59,1,0,0,0,0,0,0,Kathleen Marie Kelly (P),01/09-05/10,MZ 026,No_Special_Notes
NR,12156,CSCI,498A ,A,C,3.000,SP TPS: INTRODUCTION TO HCI,MWF,10:00am-10:50am,25,20,5,0,0,0,0,0,0,Robert Haven Thompson (P),01/09-05/10,EA 115,Elective
NR,12157,CSCI,498B ,A,C,3.000,SP TPS: TECH STARTUPS,TR,11:00am-12:15pm,35,18,17,0,0,0,0,0,0,"Pooja Sankar (P), Ruth Iris Bahar",01/09-05/10,VC 160,Elective
NR,12275,CSCI,498D ,A,C,3.000,SP TPS: NETWORK SCIENCE,MWF,02:00pm-02:50pm,35,20,15,0,0,0,0,0,0,Dinesh Prakash Mehta (P),01/09-05/10,AH 152,Elective
