Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num
Fall 2017,Electrical Engineering,Electrical Engineering,309,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Computer Science,Computer Science,310,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,Electrical Engineering,311,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Applied Math & Statistics,Computational & Applied Math,312,Spring 2018,CSCI101,Pass,Spring,2018,Fall,2017,8072,8071
Fall 2017,Electrical Engineering,Electrical Engineering,313,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Computer Science,Computer Science,315,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2017,8075,8071
Fall 2017,Electrical Engineering,Electrical Engineering,317,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2017,8075,8071
Fall 2017,Computer Science,Computer Science,318,Spring 2018,CSCI101,Pass,Spring,2018,Fall,2017,8072,8071
Fall 2017,Computer Science,CS-Computer Eng Spclty,321,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Computer Science,Computer Science,322,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2017,8076,8071
Fall 2017,Computer Science,Computer Science,330,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2017,8076,8071
Fall 2017,Computer Science,Computer Science,333,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2017,8075,8071
Fall 2018,Electrical Engineering,EE-Info Sys & Science Spclty,337,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,339,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Applied Math & Statistics,Computational & Applied Math,340,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,EE-Antenn & Wirels Comm Spclty,341,Spring 2020,CSCI101,Pass,Spring,2020,Fall,2018,8080,8075
Fall 2018,Electrical Engineering,Electrical Engineering,342,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Geophysics,Geophysical Engineering,343,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,344,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,345,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,346,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,350,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,351,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,352,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,354,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Applied Math & Statistics,Computational & Applied Math,355,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,357,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Applied Math & Statistics,Statistics,358,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,359,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,Electrical Engineering,360,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Computer Science,Computer Science,361,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Applied Math & Statistics,Statistics,363,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
Fall 2018,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,365,Fall 2018,CSCI101,Pass,Fall,2018,Fall,2018,8075,8075
