Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num,Specialty
Spring 2020,Mechanical Engineering,Mechanical Engineering,82,Spring 2020,CSCI128,Pass,Spring,2020,Spring,2020,8080,8080,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,122,Fall 2022,CSCI128,Pass,Fall,2022,Fall,2018,8091,8075,N/A
Spring 2020,Mechanical Engineering,Mechanical Engineering,149,Spring 2020,CSCI128,Pass,Spring,2020,Spring,2020,8080,8080,Biomechanics
Fall 2019,Mechanical Engineering,Mechanical Engineering,153,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,164,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2017,8080,8071,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,178,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2017,Physics,Engineering Physics,192,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2018,Economics and Business,Economics,227,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2018,8079,8075,Business
Fall 2020,Civil & Environmental Enginrng,Civil Engineering,235,Spring 2022,CSCI128,Pass,Spring,2022,Fall,2020,8088,8083,N/A
Fall 2017,Civil & Environmental Enginrng,Environmental Engineering,245,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,248,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,253,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2017,8075,8071,N/A
Fall 2017,Chemistry,Biochemistry,254,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2017,8080,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,275,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2017,8084,8071,N/A
Fall 2017,Engineering Design & Society,Engineering General,285,Fall 2021,CSCI128,Pass,Fall,2021,Fall,2017,8087,8071,Individualized 
Fall 2017,Chemical & Biological Engineer,Chemical Engineering,288,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,Biological Enginrng 
Fall 2018,Mechanical Engineering,Mechanical Engineering,299,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Physics,Engineering Physics,303,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Spring 2020,Mechanical Engineering,Mechanical Engineering,304,Spring 2020,CSCI128,Pass,Spring,2020,Spring,2020,8080,8080,N/A
Spring 2018,Mining,Space Resources,306,Spring 2019,CSCI128,Pass,Spring,2019,Spring,2018,8076,8072,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,317,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2017,Physics,Engineering Physics,324,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Economics and Business,Engineering & Tech Management,330,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Spring 2019,Civil & Environmental Enginrng,Environmental Engineering,336,Spring 2022,CSCI128,Pass,Spring,2022,Spring,2019,8088,8076,N/A
Fall 2018,Physics,Engineering Physics,339,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,344,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2018,8079,8075,N/A
Fall 2017,Geo & Geological Engineering,Geological Engineering,345,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,GTch
Fall 2017,Mechanical Engineering,Mechanical Engineering,355,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2017,8080,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,359,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2017,8080,8071,N/A
Fall 2018,Physics,Nuclear Engineering,360,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,363,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,373,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,379,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2018,8084,8075,N/A
Fall 2021,Civil & Environmental Enginrng,Civil & Environ Engineering,384,Fall 2021,CSCI128,Pass,Fall,2021,Fall,2021,8087,8087,N/A
Fall 2017,Electrical Engineering,Electrical Engineering,386,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,387,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2019,Engineering Design & Society,Engineering General,392,Spring 2022,CSCI128,Pass,Spring,2022,Fall,2019,8088,8079,Mus Aud Eng Rec Arts 
Fall 2017,Geophysics,Geophysical Engineering,400,Spring 2018,CSCI128,Pass,Spring,2018,Fall,2017,8072,8071,N/A
Fall 2018,Metallurgical & Materials Eng,Metallurgical & Materials Eng,401,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2020,Mechanical Engineering,Mechanical Engineering,403,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2020,8083,8083,N/A
Fall 2020,Mechanical Engineering,Mechanical Engineering,413,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2020,8084,8083,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,415,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,418,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,422,Spring 2018,CSCI128,Pass,Spring,2018,Fall,2017,8072,8071,N/A
Fall 2017,Geophysics,Geophysical Engineering,427,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,430,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2018,8079,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,433,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Fall 2017,Physics,Engineering Physics,435,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2018,Chemical & Biological Engineer,Chemical Engineering,438,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,Biological Enginrng 
Fall 2019,Electrical Engineering,Electrical Engineering,439,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2019,Physics,Engineering Physics,442,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2018,Physics,Engineering Physics,446,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Engineering Design & Society,Engineering General,447,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,Individualized 
Fall 2017,Mechanical Engineering,Mechanical Engineering,457,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,472,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Petroleum,Petroleum Engineering,493,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Petroleum,Petroleum Engineering,498,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,506,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2017,8079,8071,N/A
Fall 2020,Mechanical Engineering,Mechanical Engineering,516,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2020,8083,8083,N/A
Fall 2017,Civil & Environmental Enginrng,Civil Engineering,521,Spring 2018,CSCI128,Pass,Spring,2018,Fall,2017,8072,8071,N/A
Fall 2017,Economics and Business,Economics,525,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,Business
Fall 2017,Electrical Engineering,Electrical Engineering,527,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,529,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2017,8075,8071,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,541,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2020,Mechanical Engineering,Mechanical Engineering,543,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2020,8083,8083,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,553,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,556,Spring 2019,CSCI128,Pass,Spring,2019,Fall,2018,8076,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,557,Fall 2022,CSCI128,Pass,Fall,2022,Fall,2018,8091,8075,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,558,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2018,Chemical & Biological Engineer,Chemical Engineering,564,Spring 2022,CSCI128,Pass,Spring,2022,Fall,2018,8088,8075,Biological Enginrng 
Fall 2018,Metallurgical & Materials Eng,Metallurgical & Materials Eng,570,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,573,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2018,8080,8075,N/A
Fall 2018,Geophysics,Geophysical Engineering,576,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2018,8079,8075,N/A
Fall 2018,Engineering Design & Society,Engineering General,583,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,Community Devlpmnt 
Fall 2018,Chemical & Biological Engineer,Chemical Engineering,584,Spring 2019,CSCI128,Pass,Spring,2019,Fall,2018,8076,8075,Process Engineering 
Fall 2019,Mechanical Engineering,Mechanical Engineering,587,Spring 2022,CSCI128,Pass,Spring,2022,Fall,2019,8088,8079,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,589,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Economics and Business,Economics,591,Summer 2021,CSCI128,Pass,Summer,2021,Fall,2018,8085,8075,Business
Fall 2019,Mechanical Engineering,Mechanical Engineering,592,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,594,Spring 2022,CSCI128,Pass,Spring,2022,Fall,2018,8088,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,595,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Fall 2018,Engineering Design & Society,Engineering General,596,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2018,8084,8075,Individualized 
Fall 2018,Mechanical Engineering,Mechanical Engineering,597,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2018,8080,8075,N/A
Fall 2018,Chemistry,Biochemistry,600,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2018,8084,8075,N/A
Fall 2018,Civil & Environmental Enginrng,Civil Engineering,601,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Spring 2018,Mechanical Engineering,Mechanical Engineering,608,Fall 2020,CSCI128,Pass,Fall,2020,Spring,2018,8083,8072,N/A
Fall 2018,Economics and Business,Economics,612,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,Business
Fall 2018,Mechanical Engineering,Mechanical Engineering,615,Spring 2022,CSCI128,Pass,Spring,2022,Fall,2018,8088,8075,N/A
Fall 2018,Petroleum,Petroleum Engineering,617,Spring 2022,CSCI128,Pass,Spring,2022,Fall,2018,8088,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,618,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Fall 2018,Interdisciplinary Program,Hydrology,619,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Engineering Design & Society,Engineering General,620,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2018,8079,8075,Individualized 
Fall 2018,Mechanical Engineering,Mechanical Engineering,624,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Physics,Engineering Physics,626,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Petroleum,Petroleum Engineering,634,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Spring 2020,Mechanical Engineering,Mechanical Engineering,636,Fall 2020,CSCI128,Pass,Fall,2020,Spring,2020,8083,8080,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,641,Spring 2022,CSCI128,Pass,Spring,2022,Fall,2018,8088,8075,N/A
Fall 2018,Chemical & Biological Engineer,Chemical Engineering,644,Spring 2019,CSCI128,Pass,Spring,2019,Fall,2018,8076,8075,N/A
Fall 2018,Geophysics,Geophysics,649,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2018,8080,8075,N/A
Fall 2018,Civil & Environmental Enginrng,Civil Engineering,653,Spring 2019,CSCI128,Pass,Spring,2019,Fall,2018,8076,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,654,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Metallurgical & Materials Eng,Metallurgical & Materials Eng,655,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Fall 2018,Geo & Geological Engineering,Geological Engineering,659,Spring 2019,CSCI128,Pass,Spring,2019,Fall,2018,8076,8075,M/FEx
Fall 2018,Economics and Business,Economics,667,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2018,8084,8075,Business
Fall 2018,Mechanical Engineering,Mechanical Engineering,669,Fall 2021,CSCI128,Pass,Fall,2021,Fall,2018,8087,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,672,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,675,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2018,8079,8075,N/A
Fall 2018,Physics,Engineering Physics,677,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2020,Mechanical Engineering,Mechanical Engineering,679,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2020,8083,8083,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,680,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Geophysics,Geophysical Engineering,688,Spring 2019,CSCI128,Pass,Spring,2019,Fall,2018,8076,8075,N/A
Fall 2018,Geophysics,Geophysical Engineering,698,Spring 2019,CSCI128,Pass,Spring,2019,Fall,2018,8076,8075,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,701,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2018,Physics,Engineering Physics,705,Spring 2019,CSCI128,Pass,Spring,2019,Fall,2018,8076,8075,N/A
Fall 2018,Chemical & Biological Engineer,Chemical Engineering,707,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2020,Mechanical Engineering,Mechanical Engineering,711,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2020,8084,8083,N/A
Fall 2018,Geo & Geological Engineering,Geological Engineering,717,Spring 2019,CSCI128,Pass,Spring,2019,Fall,2018,8076,8075,M/FEx
Fall 2018,Mechanical Engineering,Mechanical Engineering,718,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2018,8084,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,719,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Fall 2018,Civil & Environmental Enginrng,Civil Engineering,724,Fall 2022,CSCI128,Pass,Fall,2022,Fall,2018,8091,8075,N/A
Spring 2019,Mechanical Engineering,Mechanical Engineering,732,Spring 2019,CSCI128,Pass,Spring,2019,Spring,2019,8076,8076,N/A
Spring 2019,Physics,Engineering Physics,735,Spring 2019,CSCI128,Pass,Spring,2019,Spring,2019,8076,8076,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,736,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,740,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2021,Mechanical Engineering,Mechanical Engineering,741,Fall 2021,CSCI128,Pass,Fall,2021,Fall,2021,8087,8087,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,743,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,746,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2020,Mechanical Engineering,Mechanical Engineering,750,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2020,8084,8083,Automotive
Fall 2020,Mechanical Engineering,Mechanical Engineering,755,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2020,8084,8083,N/A
Fall 2020,Physics,Engineering Physics,756,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2020,8083,8083,N/A
Fall 2019,Geophysics,Geophysical Engineering,757,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,758,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,760,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,763,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,Aerospace
Fall 2019,Physics,Engineering Physics,764,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,766,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,767,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Metallurgical & Materials Eng,Metallurgical & Materials Eng,771,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,779,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Geophysics,Geophysical Engineering,782,Summer 2021,CSCI128,Pass,Summer,2021,Fall,2019,8085,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,785,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Interdisciplinary Program,Space Resources,786,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,788,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,791,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,794,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,796,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,798,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Physics,Engineering Physics,799,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,800,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,802,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,804,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,806,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,807,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,810,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,Biomechanics
Fall 2019,Mechanical Engineering,Mechanical Engineering,815,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,817,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,818,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,819,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Geo & Geological Engineering,Geological Engineering,820,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,GTch
Fall 2019,Mechanical Engineering,Mechanical Engineering,822,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Physics,Engineering Physics,823,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Electrical Engineering,Electrical Engineering,826,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2020,Mechanical Engineering,Mechanical Engineering,827,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2020,8084,8083,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,828,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Geophysics,Geophysical Engineering,829,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,830,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Physics,Engineering Physics,831,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,835,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Chemistry,Biochemistry,836,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,839,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,840,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Chemical & Biological Engineer,Chemical Engineering,842,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mining,Mining Engineering,844,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Engineering Design & Society,Engineering General,847,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,Mus Aud Eng Rec Arts 
Fall 2019,Mechanical Engineering,Mechanical Engineering,851,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,852,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Physics,Engineering Physics,855,Fall 2022,CSCI128,Pass,Fall,2022,Fall,2019,8091,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,857,Fall 2021,CSCI128,Pass,Fall,2021,Fall,2019,8087,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,860,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,864,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,865,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,867,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,872,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mining,Mining Engineering,873,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,874,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Physics,Engineering Physics,877,Fall 2021,CSCI128,Pass,Fall,2021,Fall,2019,8087,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,879,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Economics and Business,Economics,880,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,Business
Fall 2019,Mechanical Engineering,Mechanical Engineering,881,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Engineering Design & Society,Engineering General,882,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,Individualized 
Fall 2019,Physics,Engineering Physics,885,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,886,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Geophysics,Geophysical Engineering,890,Fall 2021,CSCI128,Pass,Fall,2021,Fall,2019,8087,8079,N/A
Fall 2019,Geo & Geological Engineering,Geological Engineering,891,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,GTch
Fall 2019,Civil & Environmental Enginrng,Civil Engineering,894,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,897,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Geophysics,Geophysical Engineering,898,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,901,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,902,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2019,Chemistry,Biochemistry,905,Spring 2023,CSCI128,Pass,Spring,2023,Fall,2019,8092,8079,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,906,Spring 2023,CSCI128,Pass,Spring,2023,Fall,2019,8092,8079,Aerospace
Fall 2019,Mechanical Engineering,Mechanical Engineering,913,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,Automotive
