Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num,Specialty
Fall 2021,Computer Science,Computer Science,3099,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,Computer Eng 
Fall 2021,Computer Science,Computer Science,3100,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2021,8092,8087,Data Science 
Fall 2021,Computer Science,Computer Science,3103,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,Data Science 
Fall 2021,Computer Science,Computer Science,3109,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2021,8092,8087,N/A
Fall 2021,Computer Science,Computer Science,3112,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,Robotics Intel Sys 
Fall 2022,Computer Science,Computer Science,3115,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2022,8095,8091,Computer Eng 
Spring 2020,Computer Science,Computer Science,3121,Fall 2021,CSCI442,Pass,Fall,2021,Spring,2020,8087,8080,Computer Eng 
Fall 2018,Computer Science,Computer Science,3123,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2018,8083,8075,Computer Eng 
Fall 2017,Electrical Engineering,Electrical Engineering,3128,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2017,8084,8071,N/A
Fall 2017,Computer Science,Computer Science,3130,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2017,8080,8071,Business 
Fall 2017,Electrical Engineering,Electrical Engineering,3133,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2017,8080,8071,N/A
Fall 2017,Computer Science,Computer Science,3134,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2017,8080,8071,Research Honors 
Fall 2017,Computer Science,Computer Science,3135,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2017,8084,8071,Data Science 
Fall 2017,Computer Science,Computer Science,3137,Fall 2019,CSCI442,Pass,Fall,2019,Fall,2017,8079,8071,Computer Eng 
Fall 2018,Computer Science,Computer Science,3138,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2018,8080,8075,Computer Eng 
Fall 2017,Computer Science,Computer Science,3139,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2017,8084,8071,N/A
Fall 2017,Computer Science,Computer Science,3141,Fall 2021,CSCI442,Pass,Fall,2021,Fall,2017,8087,8071,Data Science 
Fall 2019,Computer Science,Computer Science,3142,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2019,8084,8079,Computer Eng 
Fall 2018,Computer Science,Computer Science,3143,Fall 2021,CSCI442,Pass,Fall,2021,Fall,2018,8087,8075,Business 
Fall 2018,Computer Science,Computer Science,3144,Fall 2021,CSCI442,Pass,Fall,2021,Fall,2018,8087,8075,Robotics Intel Sys 
Spring 2018,Computer Science,Computer Science,3146,Spring 2020,CSCI442,Pass,Spring,2020,Spring,2018,8080,8072,Computer Eng 
Fall 2018,Electrical Engineering,Electrical Engineering,3147,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2018,8084,8075,Antenn & Wirels Comm 
Fall 2018,Physics,Engineering Physics,3148,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2018,8080,8075,N/A
Fall 2018,Computer Science,Computer Science,3149,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2018,8088,8075,Computer Eng 
Fall 2018,Computer Science,Computer Science,3151,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2018,8084,8075,Data Science 
Fall 2018,Computer Science,Computer Science,3153,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2018,8088,8075,Computer Eng 
Fall 2018,Computer Science,Computer Science,3154,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2018,8092,8075,Business 
Fall 2019,Computer Science,Computer Science,3156,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,N/A
Fall 2022,Computer Science,Computer Science,3157,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2022,8095,8091,Data Science 
Fall 2019,Computer Science,Computer Science,3158,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2019,8092,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3159,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2019,8088,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3163,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2019,8084,8079,Computer Eng 
Fall 2019,Computer Science,Computer Science,3164,Fall 2021,CSCI442,Pass,Fall,2021,Fall,2019,8087,8079,N/A
Fall 2019,Computer Science,Computer Science,3166,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2019,8088,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3167,Fall 2022,CSCI442,Pass,Fall,2022,Fall,2019,8091,8079,Data Science 
Fall 2019,Computer Science,Computer Science,3168,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2019,8083,8079,Computer Eng 
Fall 2020,Computer Science,Computer Science,3171,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2020,8095,8083,Business 
Fall 2020,Computer Science,Computer Science,3172,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,Data Science 
Fall 2022,Computer Science,Computer Science,3175,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2022,8095,8091,N/A
Fall 2020,Computer Science,Computer Science,3177,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,N/A
Fall 2021,Computer Science,Computer Science,3178,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2021,8092,8087,Computer Eng 
Fall 2020,Computer Science,Computer Science,3187,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,Computer Eng 
Fall 2020,Computer Science,Computer Science,3188,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,N/A
Fall 2020,Computer Science,Computer Science,3189,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,N/A
Fall 2020,Physics,Engineering Physics,3190,Spring 2022,CSCI442,Pass,Spring,2022,Fall,2020,8088,8083,N/A
Fall 2020,Computer Science,Computer Science,3191,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2020,8092,8083,Robotics Intel Sys 
Fall 2021,Computer Science,Computer Science,3195,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,N/A
Fall 2021,Computer Science,Computer Science,3198,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,N/A
Fall 2021,Computer Science,Computer Science,3199,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2021,8092,8087,N/A
Fall 2021,Computer Science,Computer Science,3204,Fall 2023,CSCI442,Pass,Fall,2023,Fall,2021,8095,8087,Robotics Intel Sys 
Fall 2021,Computer Science,Computer Science,3206,Spring 2023,CSCI442,Pass,Spring,2023,Fall,2021,8092,8087,N/A
Fall 2018,Computer Science,Computer Science,3218,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Spring 2018,Computer Science,Computer Science,3222,Fall 2019,CSCI442,Pass,Fall,2019,Spring,2018,8079,8072,Computer Eng 
Fall 2017,Computer Science,Computer Science,3224,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2017,8080,8071,Research Honors 
Fall 2017,Computer Science,Computer Science,3229,Spring 2020,CSCI442,Pass,Spring,2020,Fall,2017,8080,8071,Computer Eng 
Fall 2017,Computer Science,Computer Science,3232,Fall 2019,CSCI442,Pass,Fall,2019,Fall,2017,8079,8071,Data Science 
Fall 2017,Computer Science,Computer Science,3233,Fall 2021,CSCI442,Pass,Fall,2021,Fall,2017,8087,8071,Data Science 
Spring 2018,Computer Science,Computer Science,3235,Spring 2020,CSCI442,Pass,Spring,2020,Spring,2018,8080,8072,N/A
Fall 2017,Computer Science,Computer Science,3236,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2017,8083,8071,Computer Eng 
Fall 2017,Computer Science,Computer Science,3237,Fall 2020,CSCI442,Pass,Fall,2020,Fall,2017,8083,8071,N/A
Fall 2017,Computer Science,Computer Science,3241,Spring 2021,CSCI442,Pass,Spring,2021,Fall,2017,8084,8071,Data Science 
