Semester Admitted,Major,Department,CSCI101_Pass_Sem,CSCI101_Tran_Sem,CSCI128_Pass_Sem,CSCI128_Tran_Sem,CSCI200_Pass_C_Sem,CSCI200_Tran_Sem,CSCI210_Pass_Sem,CSCI220_Pass_Sem,CSCI220_Tran_Sem,CSCI261_Pass_C_Sem,CSCI261_Tran_Sem,CSCI262_Pass_Sem,CSCI262_Tran_Sem,CSCI274_Pass_Sem,CSCI306_Pass_Sem,CSCI341_Pass_Sem,CSCI358_Pass_Sem,CSCI370_Pass_Sem,CSCI400_Pass_Sem,CSCI406_Pass_Sem,CSCI442_Pass_Sem,MATH111_Pass_Sem,MATH111_Tran_Sem,MATH112_Pass_Sem,MATH113_Pass_Sem,MATH122_Pass_Sem,MATH213_Pass_Sem,MATH214_Pass_Sem,MATH223_Pass_Sem,MATH224_Pass_Sem,MATH225_Pass_Sem,MATH235_Pass_Sem,MATH300_Pass_Sem,MATH307_Pass_Sem,MATH332_Pass_Sem,MATH342_Pass_Sem,PHGN100_Pass_Sem,PHGN100_Tran_Sem,PHGN200_Pass_Sem,CSCI404_Pass_Sem,CSCI410_Pass_Sem,CSCI422_Pass_Sem,CSCI423_Pass_Sem,CSCI425_Pass_Sem,CSCI432_Pass_Sem,CSCI436_Pass_Sem,CSCI437_Pass_Sem,CSCI440_Pass_Sem,CSCI441_Pass_Sem,CSCI443_Pass_Sem,CSCI444_Pass_Sem,CSCI445_Pass_Sem,CSCI446_Pass_Sem,CSCI448_Pass_Sem,CSCI455_Pass_Sem,CSCI470_Pass_Sem,CSCI471_Pass_Sem,CSCI473_Pass_Sem,CSCI474_Pass_Sem,CSCI475_Pass_Sem,CSCI477_Pass_Sem,CSCI478_Pass_Sem
Fall 2023,Quantum Engineering,Interdisciplinary Program,Spring 2012,,,,,,,,,Spring 2011,,Fall 2011,,,Spring 2012,Spring 2012,Fall 2011,Summer One 2013,Fall 2013,Spring 2012,Fall 2012,,Fall 2007,,,Fall 2007,,,Spring 2008,,Fall 2008,,,Spring 2014,Spring 2011,,Fall 2007,,Fall 2008,Fall 2013,,Fall 2012,,,,,,,,,,Fall 2012,,,,,Fall 2013,,,,,
Fall 2017,Electrical Engineering,Electrical Enginrg & Comp Sci,Fall 2017,,,,,,,,,Summer One 2018,,,,,,,,,,,,,Fall 2017,,Fall 2017,,Spring 2018,,,,Spring 2018,,,,,,,Fall 2017,Fall 2017,,,,,,,,,,,,,,,,,,,,,,,
Spring 2020,EE-Intg Crcts & Elctrnc Spclty,Electrical Engineering,Spring 2020,,,,,,,,,Summer 2020,,,,,,,,,,,,,,,,,,,,,Spring 2020,,,,Fall 2020,,,Spring 2020,Spring 2020,,,,,,,,,,,,,,,,,,,,,,,
Spring 2020,Space Resources,Mechanical Engineering,,,,,,,,,,Spring 2010,,,,,,,,,,,,,Fall 2008,,,Fall 2008,,,Spring 2009,,Fall 2009,,,,,,,Fall 2008,Spring 2009,,,,,,,,,,,,,,,,,,,,,,,
Spring 2019,Economics - Business,Economics and Business,,,,,,,,,,Spring 2012,,Fall 2012,,,Spring 2013,Fall 2012,Fall 2012,,,Spring 2013,Spring 2013,,Fall 2008,,Fall 2008,,,,,Fall 2008,Spring 2009,,,,,,Fall 2008,,Spring 2009,,Spring 2013,,,,,,,,,,,,,,,,,,,,,
Fall 2018,EE-Antenn & Wirels Comm Spclty,Electrical Engineering,,,,,,,,,,Summer 2009,,,,,,,,,,,,Fall 2008,,Fall 2009,,,Summer Two 2010,,,,Fall 2018,,,,Spring 2019,,Spring 2009,,Spring 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2020,Civil & Environ Engineering,Civil & Environmental Enginrng,,,,,,,,,,Fall 2009,,,,,,,,,,,,,Fall 2008,,,Fall 2008,,,Spring 2009,,Spring 2010,,,,,,Spring 2009,,Summer 2009,,,,,,,,,,,,,,,,,,,,,,,
Fall 2017,Non-degree Graduate,Non-Degree Program Grad Level,,,,,,,,,,,,Spring 2017,,,Fall 2017,Fall 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2017,Metallurgical & Materials Eng,Metallurgical & Materials Eng,Spring 2011,,,,,,,,,Fall 2009,,Fall 2011,,,,,,,,,,,Fall 2008,,Fall 2008,,,,,Fall 2008,Spring 2009,,,,,,Spring 2009,,Fall 2009,,,,,,,,,,,,,,,,,,,,,,,
Fall 2023,Mechanical Engineering,Mechanical Engineering,,,Fall 2023,,,,,,,,,,,,,,,,,,,,Fall 2023,,,,,,,,,,,,,,,Fall 2023,,,,,,,,,,,,,,,,,,,,,,,,
